0	0	0	0	1	2	3	4	1	1	1	1	1	1	1	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.88431	1.73937	1.73937	1.73937	0	0	0	0	0	0	0	0	0	0	0	0	
3.76863	3.47873	3.47873	3.47873	0	0	0	0	0	0	0	0	0	0	0	0	
5.65294	5.2181	5.2181	5.2181	0	0	0	0	0	0	0	0	0	0	0	0	
7.53725	6.95747	6.95747	6.95747	0	0	0	0	0	0	0	0	0	0	0	0	
9.42157	8.69683	8.69683	8.69683	1	0	3	0	1	0	1	0	1	0	1	0	
1.61513	10.4362	1.50745	10.4362	1	0	3	0	0	0	0	0	1	0	1	0	
3.23025	11.3059	3.0149	11.3059	0	0	0	0	0	0	0	0	0	0	0	0	
4.84538	11.3059	4.52235	11.3059	0	0	0	0	0	0	0	0	0	0	0	0	
6.4605	11.3059	6.0298	11.3059	1	0	3	4	1	0	1	1	1	0	1	1	
1.61513	11.3059	1.50745	1.50745	1	2	3	4	0	1	1	1	1	1	1	1	
3.23025	1.50745	1.50745	1.50745	1	0	3	4	0	0	0	0	1	0	1	1	
0	3.0149	3.0149	3.0149	1	2	3	4	1	1	1	0	1	1	1	1	
0	0	0	0	1	2	3	4	1	1	0	0	1	1	1	1	
0	0	0	0	1	2	3	4	0	0	0	0	1	1	1	1	
0	0	0	0	1	2	3	4	0	1	0	1	1	1	1	1	
0	0	0	0	0	2	3	4	0	1	1	0	0	1	1	1	
