31.7549	75.2817	48.9648	66.2352	27.8461	63.6037	41.8067	55.3778	
38.1401	81.865	59.8146	67.3615	17.5772	62.0986	45.4984	45.6468	
38.3083	89.0086	61.9845	67.5867	16.1149	53.4482	48.4517	37.862	
43.1476	79.3515	72.7145	69.8737	17.3	42.8756	50.7234	27.1317	
47.9868	69.6943	79.1525	71.2459	18.4852	32.3031	60.6345	25.05	
48.9547	67.7628	79.1547	63.2785	19.1963	25.9595	62.6167	24.6337	
45.4627	57.7922	86.2522	62.8016	28.8948	19.8349	69.5411	17.3704	
41.9706	47.8216	87.1753	61.4164	33.0156	10.2753	76.4654	10.1072	
38.4786	37.851	82.6327	52.1573	36.3123	2.62766	80.62	5.74927	
31.297	45.1234	78.9986	44.75	27.4717	7.6001	72.2663	2.72366	
24.1155	52.3957	68.817	42.5903	18.631	12.5725	62.6371	6.12689	
16.9339	59.6681	60.6716	40.8625	9.75287	10.1078	53.0079	9.53013	
14.0613	62.5771	50.728	38.7034	3.4375	10.1871	43.3787	12.9334	
8.56893	52.0965	40.7845	36.5442	4.47588	14.0588	33.7495	16.3366	
5.41945	42.0178	30.8409	34.3851	10.9177	23.0254	24.1203	19.7398	
2.26997	31.9391	20.8973	32.2259	13.4944	26.612	14.4911	23.1431	
0	0	10.9538	30.0668	9.21813	29.0809	4.86186	26.5463	
