31.7549	75.2817	48.9648	66.2352	27.8461	63.6037	44.0184	56.8645	
38.1401	81.865	59.8146	67.3615	17.5772	62.0986	49.9219	48.6201	
38.3083	89.0086	61.9845	67.5867	14.0613	62.5771	55.8254	40.3757	
43.1476	79.3515	72.7145	69.8737	8.56893	52.0965	61.7289	32.1313	
47.9868	69.6943	79.1525	71.2459	16.1149	53.4482	67.6323	23.8869	
48.9547	67.7628	79.1547	63.2785	24.7264	48.1122	73.5358	15.6425	
48.7751	57.084	86.2522	62.8016	33.3378	42.7761	79.4393	7.39814	
48.5954	46.4051	87.1753	61.4164	41.9492	37.4401	80.62	5.74927	
48.4517	37.862	82.6327	52.1573	50.5607	32.1041	72.2663	2.72366	
38.4786	37.851	78.9986	44.75	59.1721	26.7681	62.3338	4.54753	
37.8414	27.4912	68.817	42.5903	62.6167	24.6337	52.4014	6.37139	
37.2043	17.1314	60.6716	40.8625	52.6985	23.2223	42.4689	8.19526	
36.5672	6.77158	54.454	32.2807	42.7803	21.8109	32.5365	10.0191	
36.3123	2.62766	50.7234	27.1317	32.862	20.3995	22.604	11.843	
27.907	8.64669	40.2143	26.7409	28.8948	19.8349	18.631	12.5725	
19.5018	14.6657	29.7053	26.3502	19.1035	16.1242	9.75287	10.1078	
11.0965	20.6848	19.1963	25.9595	9.31225	12.4135	4.47588	14.0588	
2.69123	26.7038	13.4944	26.612	3.4375	10.1871	7.8632	24.7889	
0	0	3.09089	27.6917	1.92042	21.2624	9.21813	29.0809	
